paper_title,paper_arxiv_id,paper_url_pdf,paper_url_abs,DOI,repo_url,mentioned_in_paper,ID_in_repo,Title_in_repo,ID_is_Bidirectional,BiDirectional,Observations,Reviewed By
Efficient Binary-Level Coverage Analysis,2004.14191,https://arxiv.org/pdf/2004.14191v3.pdf,http://arxiv.org/abs/2004.14191v3,,https://doi.org/10.5281/zenodo.3876047,TRUE,TRUE,TRUE,FALSE,TRUE,has the github as a DOI,"Adrian, Arroyo"
PyGAD: An Intuitive Genetic Algorithm Python Library,2106.06158,https://arxiv.org/pdf/2106.06158v1.pdf,https://arxiv.org/abs/2106.06158v1,,https://github.com/ahmedfgad/GeneticAlgorithmPython,TRUE,TRUE,TRUE,TRUE,TRUE,"SOMEF might have issues due to it having a citation and a ""paper"". Paper has the bibtex for arxiv","Adrian, Arroyo"
T3: Tree-Autoencoder Constrained Adversarial Text Generation for Targeted Attack,1912.10375,https://arxiv.org/pdf/1912.10375v2.pdf,https://arxiv.org/abs/1912.10375v2,10.18653/v1/2020.emnlp-main.495,https://github.com/AI-secure/T3,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Aksharantar: Towards building open transliteration tools for the next billion users,2205.03018,https://arxiv.org/pdf/2205.03018v1.pdf,https://arxiv.org/abs/2205.03018v1,,https://github.com/AI4Bharat/IndicXlit,FALSE,TRUE,TRUE,FALSE,FALSE,,"Adrian, Arroyo"
Citation network centrality: a scientific awards predictor?,1910.02369,https://arxiv.org/pdf/1910.02369v1.pdf,https://arxiv.org/abs/1910.02369v1,,https://github.com/ajholanda/k-index,TRUE,TRUE,TRUE,TRUE,TRUE,"**** Link broken in paper, does not reference full github but rather a file.","Adrian, Arroyo"
TensorLayer: A Versatile Library for Efficient Deep Learning Development,1707.08551,http://arxiv.org/pdf/1707.08551v3.pdf,http://arxiv.org/abs/1707.08551v3,,https://github.com/akaraspt/tl_paper,TRUE,FALSE,TRUE,FALSE,TRUE,"No readme, SOMEF may fail","Adrian, Arroyo"
(In)Stability for the Blockchain: Deleveraging Spirals and Stablecoin Attacks,1906.02152,https://arxiv.org/pdf/1906.02152v3.pdf,https://arxiv.org/abs/1906.02152v3,10.21428/58320208.e46b7b81,https://github.com/aklamun/Stablecoin_Deleveraging,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Explainable and Lightweight Model for COVID-19 Detection Using Chest Radiology Images,2212.13788,https://arxiv.org/pdf/2212.13788v1.pdf,https://arxiv.org/abs/2212.13788v1,,https://github.com/aleesuss/c19,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Presentations for cusped arithmetic hyperbolic lattices,1709.06691,https://arxiv.org/pdf/1709.06691v5.pdf,https://arxiv.org/abs/1709.06691v5,10.2140/agt.2022.22.3577,https://github.com/alice-mark/LatticePresentations,TRUE,FALSE,TRUE,FALSE,TRUE,Mentioned but dont know if somef will pick it up.,"Adrian, Arroyo"
A Machine-learning Based Ensemble Method For Anti-patterns Detection,1903.01899,https://arxiv.org/pdf/1903.01899v3.pdf,https://arxiv.org/abs/1903.01899v3,,https://github.com/antoineBarbez/SMAD,TRUE,TRUE,TRUE,TRUE,TRUE,TITLE IN ABOUT,"Adrian, Arroyo"
Chaining Meets Chain Rule: Multilevel Entropic Regularization and Training of Neural Nets,1906.11148,https://arxiv.org/pdf/1906.11148v1.pdf,https://arxiv.org/abs/1906.11148v1,,https://github.com/ARAsadi/Multilevel-Metropolis,TRUE,FALSE,FALSE,FALSE,FALSE,,"Adrian, Arroyo"
Characterising the surface magnetic fields of T Tauri stars with high-resolution near-infrared spectroscopy,1909.04965,https://arxiv.org/pdf/1909.04965v1.pdf,https://arxiv.org/abs/1909.04965v1,10.1051/0004-6361/2019.35695,https://github.com/astro-alexis/magnotron-tts,TRUE,TRUE,TRUE,TRUE,TRUE,,"Adrian, Arroyo"
Multi-channel Narrow-band Deep Speech Separation with Full-band Permutation Invariant Training,2110.05966,https://arxiv.org/pdf/2110.05966v2.pdf,https://arxiv.org/abs/2110.05966v2,,https://github.com/audio-westlakeu/nbss,TRUE,TRUE,TRUE,TRUE,TRUE,AS A EMBEDDED LINK,"Adrian, Arroyo"
